"PlanetIdentifier","TypeFlag","PlanetaryMassJpt","RadiusJpt","PeriodDays","SemiMajorAxisAU","Eccentricity","PeriastronDeg","LongitudeDeg","AscendingNodeDeg","InclinationDeg","SurfaceTempK","AgeGyr","DiscoveryMethod","DiscoveryYear","LastUpdated","RightAscension","Declination","DistFromSunParsec","HostStarMassSlrMass","HostStarRadiusSlrRad","HostStarMetallicity","HostStarTempK","HostStarAgeGyr","ListsPlanetIsOn","Probability_of_life"
"11 Com b",0,19.4,3.17970094251908,326.03,1.29,0.231,94.8,412.16951527036,-84.1827022795179,115.91937737692,-193.620872771087,1.22281964290649,"RV",2008,"15/09/20","12 20 43","+17 47 34",88.9,2.7,19,-0.35,4742,5.24649876523733,"Confirmed planets",0
"11 UMi b",0,11.2,3.11709684602843,516.22,1.54,0.08,117.63,433.233616093697,237.056359019588,114.261854955432,314.520956237259,1.96299229644802,"RV",2009,"15/09/20","15 17 05.88899","+71 49 26.0466",122.1,1.8,24.08,0.04,4340,1.31173015338161,"Confirmed planets",0
"14 And b",0,4.8,2.06333767610101,185.84,0.83,0,0,573.470238626685,-95.384355274211,91.8106131031799,1049.36581707823,2.05207233242769,"RV",2008,"15/09/20","23 31 17.41346","+39 14 10.3092",79.2,2.2,11,-0.24,4813,-2.18094198989496,"Confirmed planets",0
"14 Her b",0,4.975,0.538465157643192,1766,2.864,0.359,22.23,225.775235257479,106.852162876795,78.1301914793146,490.095817671709,-0.417975857012459,"RV",2002,"15/09/21","16 10 23","+43 49 18",18.1,1,0.708,0.43,5311,9.27230006756181,"Confirmed planets",0
"14 Her c",0,7.679,0.333757615808644,9886,9.037,0.184,189.076,123.730897834787,332.066927891504,36.0773627536003,984.870395411915,-0.169026452414206,"RV",2006,"15/09/21","16 10 23","+43 49 18",18.1,1,0.708,0.43,5311,-0.323214021321887,"Controversial",0
"16 Cygni B b",2,1.77,0.495552772078493,799.5,1.72,0.689,83.4,138.845836043484,12.0828932508512,45,-673.71663704976,2.85876587378328,"RV",1996,"15/09/22","19 41 48.95343","+50 31 30.2153",21.146,1.07,1.127,0.052,5750,6.8,"Confirmed planets, Planets in binary systems, S-type",1
"18 Del b",0,10.3,1.27887599589383,993.3,2.6,0.08,166.1,371.034125854333,44.065829441328,71.9032365518839,273.710466435026,0.873937207456368,"RV",2008,"15/09/23","20 58 25.93397","+10 50 21.4289",75.3,2.3,8.5,-0.052,4979,0.730065014975091,"Confirmed planets",0
"1RXS1609 b",0,11.6276827302998,1.7,9404.62397086579,19.1478180273862,0.182225565190023,188.109744343655,243.293710066332,132.153535812756,74.8361954477515,2000,0.87137522399241,"imaging",2008,"15/07/29","16 09 30","-21 04 58",145,0.85,1.35,0.339061966439695,4060,0.011,"Confirmed planets",1
"1SWASP J1407 b",0,14,0.729659736018387,10044,25.4622615292606,0.8,-102.14859011154,315.107995430177,14.9988428865898,34.6720435704317,146.882527197571,0.868509611137816,"transit",2007,"15/02/21","14 07 47.93","-39 45 42.7",133,1.26948986430385,0.99,0.0481838115536309,5797.2427790316,0.016,"Controversial",0
"24 Sex b",0,1.99,1.07632823091341,452.8,1.333,0.09,9.2,372.044909320983,0.559022093581987,89.0230098662723,475.2261983463,0.373721252027531,"RV",2010,"15/09/23","10 23 28.370","-00 54 08.09",74.8,1.54,4.9,-0.03,5098,2.7,"Confirmed planets",0
